"KRZAST","KSTRANA","PORCISLO","TITULPRED","JMENO","PRIJMENI","TITULZA","JMENOFULL","VEK","ZENY","TITUL","POVOLANI","BYDLISTEK","BYDLISTEN","NSTRANA","VSTRANA","NAZEVCELK","ZKRATKAK30","ZKRATKAK8","SLOZENI","POCHLASU","PROCHLASU","MANDAT","PORADIMAND","PORADINAHR","MANDSTRANA"
10,12,21,"Ing.","STANISLAV","JURÁNEK","","Ing. STANISLAV JURÁNEK",64,FALSE,TRUE,"poslanec",3,"Brno",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",4413,7.82,"A",2,0,11
10,44,7,"Mgr.","MICHAL","DOLEŽEL","","Mgr. MICHAL DOLEŽEL",34,FALSE,TRUE,"člen Sokola, zastupitel Jihomoravského kraje",3,"Brno",721,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",3595,14.95,"A",1,0,5
3,74,16,"Mgr.","MARTIN","BAXA","","Mgr. MARTIN BAXA",45,FALSE,TRUE,"primátor města Plzně, poslanec PS PČR, učitel",2,"Plzeň",53,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09 A NEZÁVISLÝCH STAROSTŮ","ODS S PODP.TOP 09 A NEZ.STAR.","ODS+TOP 09","053,721",3373,9.14,"A",1,0,11
9,46,31,"RNDr.","MILOŠ","VYSTRČIL","","RNDr. MILOŠ VYSTRČIL",60,FALSE,TRUE,"předseda Senátu Parlamentu České republiky",588024,"Telč",53,1447,"ODS A STAROSTOVÉ PRO OBČANY","ODS A STAROSTOVÉ PRO OBČANY","ODS+STO","053,779",3277,15.57,"A",1,0,7
2,33,13,"RNDr.","JAN","ZAHRADNÍK","","RNDr. JAN ZAHRADNÍK",71,FALSE,TRUE,"poslanec Parlamentu ČR",544256,"České Budějovice",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",3033,8.7,"A",2,0,12
12,45,10,"MVDr.","STANISLAV","MIŠÁK","","MVDr. STANISLAV MIŠÁK",67,FALSE,TRUE,"starosta Otrokovic v letech 1994 - 2006",585599,"Otrokovice",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",2792,17.19,"A",2,0,4
11,64,16,"RNDr. Mgr.","FRANTIŠEK","JOHN","Ph.D.","RNDr. Mgr. FRANTIŠEK JOHN Ph.D.",42,FALSE,TRUE,"starosta města, krajský zastupitel",541354,"Zábřeh",1,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",2277,6.59,"A",3,0,12
13,12,9,"Ing.","JIŘÍ","CARBOL","","Ing. JIŘÍ CARBOL",61,FALSE,TRUE,"starosta obce Dobrá, senátor",598089,"Dobrá",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",1979,6.55,"A",4,0,7
13,12,8,"Ing.","BOHUSLAV","NIEMIEC","","Ing. BOHUSLAV NIEMIEC",38,FALSE,TRUE,"nám.primátora stat.m. Havířova, středoškol.učitel",555088,"Havířov",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",1929,6.38,"A",5,0,7
8,30,14,"Mgr.","RADKO","MARTÍNEK","","Mgr. RADKO MARTÍNEK",64,FALSE,TRUE,"býv. hejtman Pard.kraje a senátor, středošk. prof.",578444,"Moravská Třebová",7,1468,"3PK - PRO PROSPERUJÍCÍ PARDUBICKÝ KRAJ","3PK-PRO PROSPERUJÍCÍ PARD. KR.","ČSSD+SPROK","007,1228",1837,7.48,"A",3,0,8
11,64,13,"RNDr.","JITKA","SEITLOVÁ","","RNDr. JITKA SEITLOVÁ",66,TRUE,TRUE,"senátorka PČR, krajská zastupitelka",514705,"Lipník nad Bečvou",1,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",1792,5.19,"A",4,0,12
12,45,5,"MUDr.","RICHARD","KREML","","MUDr. RICHARD KREML",49,FALSE,TRUE,"lékař - ortoped, zastupitel města Kroměříže",588296,"Kroměříž",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1719,10.58,"A",3,0,4
10,45,25,"prof. MUDr.","JAN","ŽALOUDÍK","CSc.","prof. MUDr. JAN ŽALOUDÍK CSc.",66,FALSE,TRUE,"lékař",593125,"Ježkovice",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1705,8.28,"A",1,0,4
7,4,25,"","JAN","BIRKE","","JAN BIRKE",51,FALSE,FALSE,"starosta Náchoda, poslanec Parlamentu ČR",573868,"Náchod",7,227,"SPOLU PRO KRAJ - OSOBNOSTI KRAJE, ČSSD A ZELENÍ","KOALICE ČSSD, ZELENÍ","ČSSD + ZELENÍ","005,007",1538,9.77,"A",2,0,4
12,45,7,"PaedDr.","ALENA","GAJDŮŠKOVÁ","","PaedDr. ALENA GAJDŮŠKOVÁ",66,TRUE,TRUE,"poslankyně, viceprezidentka Svazu pacientů ČR",500011,"Želechovice nad Dřevnicí",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1395,8.59,"A",4,0,4
7,47,6,"MUDr.","ZDENĚK","FINK","","MUDr. ZDENĚK FINK",65,FALSE,TRUE,"lékař",569810,"Hradec Králové",1049,1464,"SPOJENCI PRO KRÁLOVÉHRADECKÝ KRAJ","KOALICE TOP 09, HDK, LES","TOP 09+HDK+LES","721,795,1049",1340,9.64,"A",1,0,4
5,7,14,"","PAVEL","SVOBODA","","PAVEL SVOBODA",45,FALSE,FALSE,"starosta obce Lipová - Vesnice roku 2019, předseda",562661,"Lipová",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",1333,5.96,"A",3,0,7
