"KRZAST","KSTRANA","PORCISLO","TITULPRED","JMENO","PRIJMENI","TITULZA","JMENOFULL","VEK","ZENY","TITUL","POVOLANI","BYDLISTEK","BYDLISTEN","NSTRANA","VSTRANA","NAZEVCELK","ZKRATKAK30","ZKRATKAK8","SLOZENI","POCHLASU","PROCHLASU","MANDAT","PORADIMAND","PORADINAHR","MANDSTRANA"
10,45,18,"JUDr.","MICHAL","HAŠEK","","JUDr. MICHAL HAŠEK",44,FALSE,TRUE,"právník, emeritní hejtman JMK",3,"Brno",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1327,6.44,"A",4,0,4
8,17,10,"Mgr.","PETR","ŘEZNÍČEK","","Mgr. PETR ŘEZNÍČEK",69,FALSE,TRUE,"bývalý starosta města Chrudim, krajský zastupitel",571164,"Chrudim",129,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",1282,5.75,"A",5,0,7
10,44,33,"Mgr.","BARBORA","ANTONOVÁ","","Mgr. BARBORA ANTONOVÁ",52,TRUE,TRUE,"učitelka, překladatelka",3,"Brno",721,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",1256,5.22,"A",5,0,5
8,17,8,"","RADOMIL","KAŠPAR","","RADOMIL KAŠPAR",55,FALSE,FALSE,"místostarosta města Litomyšl, krajský zastupitel",578347,"Litomyšl",1,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",1210,5.43,"A",6,0,7
7,32,5,"prof. MUDr.","JAN","ČÁP","CSc.","prof. MUDr. JAN ČÁP CSc.",67,FALSE,TRUE,"lékař, vysokoškolský učitel",569810,"Hradec Králové",1,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",1193,8.09,"A",2,0,4
2,53,8,"PhDr. Mgr.","ROBERT","HUNEŠ","","PhDr. Mgr. ROBERT HUNEŠ",51,FALSE,TRUE,"ředitel hospice",551953,"Vodňany",1,1058,"TOP 09 A KDU-ČSL - SPOLEČNĚ PRO JIŽNÍ ČECHY","TOP 09 A KDU-ČSL - SPOL.PRO JČ","KDU-ČSL+TOP 09","001,721",1161,5.58,"A",5,0,7
7,32,10,"Ing.","ANNA","MACLOVÁ","","Ing. ANNA MACLOVÁ",60,TRUE,TRUE,"ekonomka, ředitelka Diecézní katolické charity HK",569810,"Hradec Králové",1,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",1149,7.79,"A",3,0,4
9,46,12,"Mgr.","EVA","DECROIX","MBA","Mgr. EVA DECROIX MBA",38,FALSE,TRUE,"advokátka, zapsaná mediátorka, podnikatelka",586846,"Jihlava",53,1447,"ODS A STAROSTOVÉ PRO OBČANY","ODS A STAROSTOVÉ PRO OBČANY","ODS+STO","053,779",1143,5.43,"A",3,0,7
12,33,9,"Ing.","STANISLAV","BLAHA","","Ing. STANISLAV BLAHA",50,FALSE,TRUE,"starosta města Uh.Hradiště, poslanec Parlamentu ČR",592005,"Uherské Hradiště",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",1085,5.62,"A",1,0,5
7,47,12,"JUDr.","JAN","HOLÁSEK","LL.M.","JUDr. JAN HOLÁSEK LL.M.",47,FALSE,TRUE,"právník, zastupitel města Hradec Králové",569810,"Hradec Králové",1049,1464,"SPOJENCI PRO KRÁLOVÉHRADECKÝ KRAJ","KOALICE TOP 09, HDK, LES","TOP 09+HDK+LES","721,795,1049",1057,7.6,"A",3,0,4
7,32,7,"Ing.","MIROSLAV","UCHYTIL","","Ing. MIROSLAV UCHYTIL",62,FALSE,TRUE,"starosta města Chlumec nad Cidlinou",570109,"Chlumec nad Cidlinou",1,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",952,6.45,"A",4,0,4
7,4,9,"brig. gen. Ing.","FRANTIŠEK","MENCL","","brig. gen. Ing. FRANTIŠEK MENCL",65,FALSE,TRUE,"ředitel Hasičského záchranného sboru KHK",569810,"Hradec Králové",7,227,"SPOLU PRO KRAJ - OSOBNOSTI KRAJE, ČSSD A ZELENÍ","KOALICE ČSSD, ZELENÍ","ČSSD + ZELENÍ","005,007",932,5.92,"A",4,0,4
7,47,11,"Mgr.","JAN","GRULICH","","Mgr. JAN GRULICH",45,FALSE,TRUE,"ředitel ZŠ a MŠ Trivium Plus o. p. s. v Dobřanech",576743,"Sedloňov",721,1464,"SPOJENCI PRO KRÁLOVÉHRADECKÝ KRAJ","KOALICE TOP 09, HDK, LES","TOP 09+HDK+LES","721,795,1049",931,6.7,"A",4,0,4
4,62,9,"Ing.","MIROSLAV","BALATKA","","Ing. MIROSLAV BALATKA",50,FALSE,TRUE,"senátor, geodet, muzikant a patriot",560286,"Sokolov",166,659,"STAN - STAROSTOVÉ A NEZÁVISLÍ SPOLEČNĚ S KOA, VPM CHEB A TOP 09","KOALICE STAN, TOP 09","TOP+STAN","166,721",921,7.87,"A",4,0,8
3,45,9,"","JAN","LÁTKA","","JAN LÁTKA",66,FALSE,FALSE,"předseda finančního výboru Zastupitelstva PK",553425,"Domažlice",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",855,8.4,"A",2,0,3
12,6,43,"","IVO","VALENTA","","IVO VALENTA",64,FALSE,FALSE,"senátor, podnikatel, zastupitel Zlínského kraje",585068,"Zlín",716,1458,"TRIKOLORA - SOUKROMNÍCI - NEZÁVISLÍ","TRIKOLÓRA, SOUKROMNÍCI, NEZ","TRIKOL+SOUK+NEZ","088,716,1227",811,7.04,"A",3,0,3
2,80,15,"Ing.","ŠTĚPÁN","PAVLÍK","","Ing. ŠTĚPÁN PAVLÍK",49,FALSE,TRUE,"starosta města",552046,"Tábor",766,766,"JIHOČEŠI 2012","JIHOČEŠI 2012","JIH 12","766",792,6.08,"A",3,0,4
2,80,5,"Mgr. Ing.","MARTIN","DOLEŽAL","","Mgr. Ing. MARTIN DOLEŽAL",50,FALSE,TRUE,"starosta města",553069,"Sezimovo Ústí",766,766,"JIHOČEŠI 2012","JIHOČEŠI 2012","JIH 12","766",785,6.03,"A",4,0,4
3,45,4,"doc. MUDr.","MILADA","EMMEROVÁ","CSc.","doc. MUDr. MILADA EMMEROVÁ CSc.",75,TRUE,TRUE,"lékařka ve FN Plzeň, docentka na LF UK v Plzni",2,"Plzeň",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",753,7.4,"A",3,0,3
6,33,6,"Ing.","PETR","BEITL","","Ing. PETR BEITL",53,FALSE,TRUE,"poslanec PS PČR",563510,"Jablonec nad Nisou",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",748,6.26,"A",3,0,5
6,33,12,"RNDr.","JIŘÍ","ČEŘOVSKÝ","","RNDr. JIŘÍ ČEŘOVSKÝ",65,FALSE,TRUE,"primátor Statutárního města Jablonec nad Nisou",563510,"Jablonec nad Nisou",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",735,6.15,"A",4,0,5
5,42,10,"Ing.","MAREK","HRVOL","","Ing. MAREK HRVOL",32,FALSE,TRUE,"náměstek Statutárního města Most",567027,"Most",1175,1478,"LEPŠÍ SEVER","KOALICE UFO, PROMOST","UFO+PROMOST","1012,1175",707,5.91,"A",4,0,4
5,63,8,"Ing.","JAROMÍR","KOHLÍČEK","CSc.","Ing. JAROMÍR KOHLÍČEK CSc.",67,FALSE,TRUE,"osoba samostatně výdělečně činná",567442,"Teplice",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",696,5.55,"A",3,0,4
4,49,10,"","LUBOŠ","POKORNÝ","","LUBOŠ POKORNÝ",43,FALSE,FALSE,"starosta",538795,"Krásná",112,112,"MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ","HNHRM","112",605,10.38,"A",3,0,4
4,26,6,"","VÁCLAV","SKUHRAVÝ","","VÁCLAV SKUHRAVÝ",41,FALSE,FALSE,"profesionální sportovec, radní města Karlovy Vary",554961,"Karlovy Vary",1028,1451,"VOK - VOLBA PRO KRAJ S PODPOROU HNUTÍ KARLOVARÁCI","KOALICE VOK, KVC","KVC+VOK","1028,1118",566,10.89,"A",2,0,3
4,26,7,"MUDr.","JIŘÍ","BRDLÍK","","MUDr. JIŘÍ BRDLÍK",63,FALSE,TRUE,"lékař, zastupitel města Karlovy Vary a KVK",554961,"Karlovy Vary",1028,1451,"VOK - VOLBA PRO KRAJ S PODPOROU HNUTÍ KARLOVARÁCI","KOALICE VOK, KVC","KVC+VOK","1028,1118",480,9.23,"A",3,0,3
4,39,4,"Ing.","VÍT","HROMÁDKO","","Ing. VÍT HROMÁDKO",43,FALSE,TRUE,"starosta obce",538159,"Hájek",1129,1129,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ 1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1","1129",476,10.93,"A",1,0,3
9,63,7,"","JOSEF","ZAHRADNÍČEK","","JOSEF ZAHRADNÍČEK",63,FALSE,FALSE,"politik",591769,"Studenec",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",455,5.42,"A",2,0,3
9,63,4,"","KAREL","DVOŘÁK","","KAREL DVOŘÁK",43,FALSE,FALSE,"předseda Okresního výboru KSČM Havlíčkův Brod",568759,"Chotěboř",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",432,5.14,"A",3,0,3
4,49,5,"Bc.","PAVEL","ČEKAN","","Bc. PAVEL ČEKAN",59,FALSE,TRUE,"vedoucí pracovník",555428,"Ostrov",112,112,"MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ","HNHRM","112",400,6.86,"A",4,0,4
4,61,10,"Ing.","MAREK","POLEDNÍČEK","","Ing. MAREK POLEDNÍČEK",54,FALSE,TRUE,"místostarosta města Ostrov",555428,"Ostrov",1,210,"KOALICE ODS A KDU-ČSL S PODPOROU SOUKROMNÍKŮ","KOALICE ODS+KDU-ČSL","KDU-ČSL+ODS","001,053",312,5.31,"A",4,0,4
