"KRZAST","KSTRANA","PORCISLO","TITULPRED","JMENO","PRIJMENI","TITULZA","JMENOFULL","VEK","ZENY","TITUL","POVOLANI","BYDLISTEK","BYDLISTEN","NSTRANA","VSTRANA","NAZEVCELK","ZKRATKAK30","ZKRATKAK8","SLOZENI","POCHLASU","PROCHLASU","MANDAT","PORADIMAND","PORADINAHR","MANDSTRANA","VYSOUP"
4,49,28,"Ing.","DANIEL","MAŠLÁR","","Ing. DANIEL MAŠLÁR",31,FALSE,TRUE,"starosta",554553,"Hranice",112,112,"MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ","HNHRM","112",361,6.19,"N",0,1,4,2
4,49,18,"","LENKA","DVOŘÁKOVÁ","","LENKA DVOŘÁKOVÁ",53,TRUE,FALSE,"starostka",554545,"Hazlov",112,112,"MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ","HNHRM","112",347,5.95,"N",0,2,4,2
4,61,4,"Ing.","MICHAL","POSPÍŠIL","","Ing. MICHAL POSPÍŠIL",57,FALSE,TRUE,"krajinný architekt",554481,"Cheb",53,210,"KOALICE ODS A KDU-ČSL S PODPOROU SOUKROMNÍKŮ","KOALICE ODS+KDU-ČSL","KDU-ČSL+ODS","001,053",210,3.57,"N",0,1,4,1
4,62,5,"","JAN","KUCHAŘ","","JAN KUCHAŘ",46,FALSE,FALSE,"starosta Františkových Lázní",554529,"Františkovy Lázně",166,659,"STAN - STAROSTOVÉ A NEZÁVISLÍ SPOLEČNĚ S KOA, VPM CHEB A TOP 09","KOALICE STAN, TOP 09","TOP+STAN","166,721",437,3.73,"N",0,1,8,1
5,7,6,"Ing.","PETR","LIŠKA","","Ing. PETR LIŠKA",50,FALSE,TRUE,"starosta obce Malé Žernoseky, stavební inženýr",565245,"Malé Žernoseky",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",651,2.91,"N",0,1,7,1
5,42,4,"Mgr. Ing.","MIROSLAV","ANDRT","","Mgr. Ing. MIROSLAV ANDRT",42,FALSE,TRUE,"radní Ústeckého kraje, místostarosta města Štětí",565709,"Štětí",1012,1478,"LEPŠÍ SEVER","KOALICE UFO, PROMOST","UFO+PROMOST","1012,1175",459,3.84,"N",0,1,4,1
5,63,4,"RSDr.","JAROSLAV","HORÁK","","RSDr. JAROSLAV HORÁK",70,FALSE,TRUE,"zastupitel Ústeckého kraje",562335,"Děčín",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",240,1.91,"N",0,1,4,1
6,33,4,"Ing.","PAVEL","JIHLAVEC","","Ing. PAVEL JIHLAVEC",38,FALSE,TRUE,"produktový manažer",561380,"Česká Lípa",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",171,1.43,"N",0,2,5,2
6,33,3,"Mgr.","PETR","ŽIDEK","MPA","Mgr. PETR ŽIDEK MPA",51,FALSE,TRUE,"administrátor veřejných zakázek, poradce v obl. VS",7,"Liberec",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",405,3.39,"N",0,1,5,2
7,4,4,"Bc.","KARIN","RICHTEROVÁ","","Bc. KARIN RICHTEROVÁ",41,TRUE,TRUE,"lektorka a metodička vzdělávání pro budoucnost",569810,"Hradec Králové",5,227,"SPOLU PRO KRAJ - OSOBNOSTI KRAJE, ČSSD A ZELENÍ","KOALICE ČSSD, ZELENÍ","ČSSD + ZELENÍ","005,007",382,2.42,"N",0,2,4,2
7,4,2,"Mgr.","MARTIN","HANOUSEK","","Mgr. MARTIN HANOUSEK",37,FALSE,TRUE,"náměstek primátora HK a krajinný ekolog",569810,"Hradec Králové",5,227,"SPOLU PRO KRAJ - OSOBNOSTI KRAJE, ČSSD A ZELENÍ","KOALICE ČSSD, ZELENÍ","ČSSD + ZELENÍ","005,007",850,5.4,"N",0,1,4,2
7,32,2,"Ing.","MARTIN","MACHŮ","","Ing. MARTIN MACHŮ",41,FALSE,TRUE,"manažer, starosta obce Černčice",573957,"Černčice",1,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",670,4.54,"N",0,1,4,3
7,32,3,"Mgr.","MIROSLAV","PŮŽA","Ph.D.","Mgr. MIROSLAV PŮŽA Ph.D.",41,FALSE,TRUE,"vysokoškolský pedagog",569810,"Hradec Králové",113,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",342,2.32,"N",0,2,4,3
7,32,4,"Mgr.","PETR","HAMÁČEK","","Mgr. PETR HAMÁČEK",42,FALSE,TRUE,"místostarosta města Jičín",572659,"Jičín",1,1455,"KOALICE PRO KRÁLOVÉHRADECKÝ KRAJ - KDU-ČSL - VPM - NESTRANÍCI","KOALICE KDU-ČSL, VPM, NESTRAN.","KDU+VPM+NESTR.","001,113,181",611,4.14,"N",0,3,4,3
7,47,7,"Mgr.","MATĚJ ONDŘEJ","HAVEL","Ph.D.","Mgr. MATĚJ ONDŘEJ HAVEL Ph.D.",33,FALSE,TRUE,"ředitel Gymnázia J. K. Tyla Hradec Králové",569810,"Hradec Králové",721,1464,"SPOJENCI PRO KRÁLOVÉHRADECKÝ KRAJ","KOALICE TOP 09, HDK, LES","TOP 09+HDK+LES","721,795,1049",886,6.37,"N",0,1,4,3
7,47,3,"","LIBOR","KOLDINSKÝ","","LIBOR KOLDINSKÝ",55,FALSE,FALSE,"starosta města Týniště nad Orlicí",576859,"Týniště nad Orlicí",721,1464,"SPOJENCI PRO KRÁLOVÉHRADECKÝ KRAJ","KOALICE TOP 09, HDK, LES","TOP 09+HDK+LES","721,795,1049",373,2.68,"N",0,3,4,3
7,47,1,"Ing.","ALEŠ","CABICAR","","Ing. ALEŠ CABICAR",54,FALSE,TRUE,"náměstek hejtmana KHK pro zdrav., ředitel CIAF",573868,"Náchod",721,1464,"SPOJENCI PRO KRÁLOVÉHRADECKÝ KRAJ","KOALICE TOP 09, HDK, LES","TOP 09+HDK+LES","721,795,1049",753,5.42,"N",0,2,4,3
8,17,7,"MVDr.","IVAN","JENÍK","","MVDr. IVAN JENÍK",58,FALSE,TRUE,"starosta města Slatiňany, kr. zastupitel,veterinář",572268,"Slatiňany",129,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",806,3.61,"N",0,2,7,2
8,17,6,"","PETR","HÁJEK","","PETR HÁJEK",53,FALSE,FALSE,"starosta města Ústí nad Orlicí",579891,"Ústí nad Orlicí",181,344,"KOALICE PRO PARDUBICKÝ KRAJ","KOALICE PRO PARDUBICKÝ KRAJ","KDU+SNKED+NESTR","001,129,181",630,2.82,"N",0,1,7,2
8,30,8,"Ing.","LENKA","PAŘÍZKOVÁ","","Ing. LENKA PAŘÍZKOVÁ",58,TRUE,TRUE,"tajem.a jednatelka Sokol.župa, cvičitelka žactva",6,"Pardubice",1228,1468,"3PK - PRO PROSPERUJÍCÍ PARDUBICKÝ KRAJ","3PK-PRO PROSPERUJÍCÍ PARD. KR.","ČSSD+SPROK","007,1228",427,1.74,"N",0,1,8,1
9,46,6,"Mgr. et Mgr.","JAN","SOJKA","","Mgr. et Mgr. JAN SOJKA",35,FALSE,TRUE,"psycholog v klinické praxi, radní města",568414,"Havlíčkův Brod",53,1447,"ODS A STAROSTOVÉ PRO OBČANY","ODS A STAROSTOVÉ PRO OBČANY","ODS+STO","053,779",408,1.93,"N",0,1,7,2
9,46,7,"","KAREL","KRATOCHVÍL","","KAREL KRATOCHVÍL",49,FALSE,FALSE,"starosta města",547999,"Humpolec",53,1447,"ODS A STAROSTOVÉ PRO OBČANY","ODS A STAROSTOVÉ PRO OBČANY","ODS+STO","053,779",533,2.53,"N",0,2,7,2
9,63,1,"","PAVEL","HODÁČ","","PAVEL HODÁČ",51,FALSE,FALSE,"jednatel firmy",547492,"Pelhřimov",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",312,3.71,"N",0,1,3,2
9,63,3,"PharmDr.","MILOSLAV","VRZAL","","PharmDr. MILOSLAV VRZAL",55,FALSE,TRUE,"lékárník",586943,"Brtnice",47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","KOMUNISTICKÁ STR.ČECH A MORAVY","KSČM","047",232,2.76,"N",0,2,3,2
10,12,11,"Mgr.","ZDENĚK","JURÁNEK","","Mgr. ZDENĚK JURÁNEK",39,FALSE,TRUE,"místostarosta města",594482,"Moravský Krumlov",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",1073,1.9,"N",0,1,11,1
10,44,5,"Ing.","PETR","KUNC","","Ing. PETR KUNC",42,FALSE,TRUE,"místostarosta MČ Brno-Židenice, projektant",3,"Brno",721,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",1108,4.6,"N",0,2,5,2
10,44,4,"Bc.","JAN","SCHNEIDER","","Bc. JAN SCHNEIDER",41,FALSE,TRUE,"předseda Asociace ligových klubů házené",584002,"Tišnov",1233,1467,"SPOLU PRO MORAVU","SPOLU PRO MORAVU","TOP+Z+LES+MZH+I","005,721,795,1190,1233",346,1.43,"N",0,1,5,2
10,45,3,"","VÍT","RAJTŠLÉGR","","VÍT RAJTŠLÉGR",53,FALSE,FALSE,"starosta obce Ráječko",582247,"Ráječko",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",447,2.17,"N",0,1,4,2
10,45,4,"PhDr.","DAVID","MALINKOVIČ","","PhDr. DAVID MALINKOVIČ",50,FALSE,TRUE,"ředitel domova seniorů",584291,"Břeclav",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",377,1.83,"N",0,2,4,2
11,64,11,"Mgr.","MATOUŠ","PELIKÁN","","Mgr. MATOUŠ PELIKÁN",38,FALSE,TRUE,"náměstek primátora statutárního města",500496,"Olomouc",1,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",1209,3.5,"N",0,1,12,2
11,64,12,"Mgr. Ing.","ALEŠ","MATYÁŠEK","","Mgr. Ing. ALEŠ MATYÁŠEK",58,FALSE,TRUE,"zast. statut. města, trenér mlád., středošk.učitel",589250,"Prostějov",721,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",1030,2.98,"N",0,2,12,2
12,6,2,"Ing.","MICHAL","DVOULETÝ","MBA","Ing. MICHAL DVOULETÝ MBA",40,FALSE,TRUE,"ředitel společnosti,zastupitel Zl.kraje a města UH",592005,"Uherské Hradiště",716,1458,"TRIKOLORA - SOUKROMNÍCI - NEZÁVISLÍ","TRIKOLÓRA, SOUKROMNÍCI, NEZ","TRIKOL+SOUK+NEZ","088,716,1227",683,5.93,"N",0,1,3,1
12,33,5,"Mgr.","ZDENĚK","PÁNEK","","Mgr. ZDENĚK PÁNEK",62,FALSE,TRUE,"starosta města Bystřice pod Hostýnem",588393,"Bystřice pod Hostýnem",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",518,2.68,"N",0,1,5,1
12,45,6,"","MARTINA","HVOZDENSKÁ","","MARTINA HVOZDENSKÁ",45,TRUE,FALSE,"zdravotní sestra, předsedkyně Místní organizace",585211,"Fryšták",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1159,7.13,"N",0,2,4,3
12,45,45,"Dipl.-Pol.","JANA","MALÁČOVÁ","MSc.","Dipl.-Pol. JANA MALÁČOVÁ MSc.",39,TRUE,TRUE,"ministryně práce a sociálních věcí",592005,"Uherské Hradiště",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",924,5.69,"N",0,3,4,3
12,45,2,"Mgr.","TAŤÁNA","VALENTOVÁ NERSESJAN","","Mgr. TAŤÁNA VALENTOVÁ NERSESJAN",53,FALSE,TRUE,"pedagog, zastupitelka Zlínského kraje",541630,"Vsetín",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",1175,7.23,"N",0,1,4,3
13,12,5,"Ing.","MICHAL","JEDLIČKA","","Ing. MICHAL JEDLIČKA",40,FALSE,TRUE,"náměstek primátora statutárního města Opavy",505927,"Opava",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",1046,3.46,"N",0,1,7,2
13,12,6,"Ing.","ZBYNĚK","PRAŽÁK","Ph.D.","Ing. ZBYNĚK PRAŽÁK Ph.D.",65,FALSE,TRUE,"nám.primátora statut.m.Ostr.,předseda rady Charity",4,"Ostrava",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",1202,3.98,"N",0,2,7,2
