"KRZAST","KSTRANA","PORCISLO","TITULPRED","JMENO","PRIJMENI","TITULZA","JMENOFULL","VEK","ZENY","TITUL","POVOLANI","BYDLISTEK","BYDLISTEN","NSTRANA","VSTRANA","NAZEVCELK","ZKRATKAK30","ZKRATKAK8","SLOZENI","POCHLASU","PROCHLASU","MANDAT","PORADIMAND","PORADINAHR","MANDSTRANA","VYSOUP"
2,33,12,"doc. Ing.","MARTIN","HRINKO","Ph.D., MBA","doc. Ing. MARTIN HRINKO Ph.D., MBA",49,FALSE,TRUE,"vysokoškol. pedagog, emer. řed. poř. policie PP ČR",598844,"Vlastec",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",242,0.69,"N",0,1,12,1
2,53,7,"MVDr.","RADKA","VAŇOUSOVÁ","","MVDr. RADKA VAŇOUSOVÁ",42,TRUE,TRUE,"veterinářka",552046,"Tábor",721,1058,"TOP 09 A KDU-ČSL - SPOLEČNĚ PRO JIŽNÍ ČECHY","TOP 09 A KDU-ČSL - SPOL.PRO JČ","KDU-ČSL+TOP 09","001,721",440,2.11,"N",0,1,7,1
2,80,10,"Ing.","PAVEL","PAVEL","","Ing. PAVEL PAVEL",63,FALSE,TRUE,"cestovatel, experimentální archeolog",550787,"Strakonice",766,766,"JIHOČEŠI 2012","JIHOČEŠI 2012","JIH 12","766",664,5.1,"N",0,2,4,2
2,80,6,"Mgr.","JURAJ","THOMA","","Mgr. JURAJ THOMA",51,FALSE,TRUE,"náměstek primátora",544256,"České Budějovice",766,766,"JIHOČEŠI 2012","JIHOČEŠI 2012","JIH 12","766",758,5.82,"N",0,1,4,2
3,45,10,"MUDr.","VÁCLAV","ŠIMÁNEK","Ph.D.","MUDr. VÁCLAV ŠIMÁNEK Ph.D.",50,FALSE,TRUE,"ředitel Fakultní nemocnice Plzeň",2,"Plzeň",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",697,6.85,"N",0,1,3,2
3,45,2,"Mgr.","JAROSLAV","ŠOBR","","Mgr. JAROSLAV ŠOBR",60,FALSE,TRUE,"učitel, předseda výboru pro školství Zastupit. PK",554294,"Staňkov",7,7,"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","ČESKÁ STR.SOCIÁLNĚ DEMOKRAT.","ČSSD","007",560,5.5,"N",0,2,3,2
3,74,11,"Ing.","VLADISLAV","VILÍMEC","","Ing. VLADISLAV VILÍMEC",57,FALSE,TRUE,"senátor PČR",553786,"Kdyně",53,687,"OBČANSKÁ DEMOKRATICKÁ STRANA S PODPOROU TOP 09 A NEZÁVISLÝCH STAROSTŮ","ODS S PODP.TOP 09 A NEZ.STAR.","ODS+TOP 09","053,721",1405,3.8,"N",0,1,11,1
4,26,2,"Bc.","JAN","PICKA","","Bc. JAN PICKA",54,FALSE,TRUE,"místostarosta města Sokolov, zastupitel KVK",560286,"Sokolov",1118,1451,"VOK - VOLBA PRO KRAJ S PODPOROU HNUTÍ KARLOVARÁCI","KOALICE VOK, KVC","KVC+VOK","1028,1118",425,8.18,"N",0,1,3,2
4,26,22,"","LUKÁŠ","MENSATOR","","LUKÁŠ MENSATOR",36,FALSE,FALSE,"trenér brankářů reprezentace ČR do 17 let",538001,"Andělská Hora",1028,1451,"VOK - VOLBA PRO KRAJ S PODPOROU HNUTÍ KARLOVARÁCI","KOALICE VOK, KVC","KVC+VOK","1028,1118",386,7.43,"N",0,2,3,2
4,39,1,"Ing.","MARKÉTA","SINKULOVÁ MORAVCOVÁ","","Ing. MARKÉTA SINKULOVÁ MORAVCOVÁ",43,TRUE,TRUE,"starostka obce",555703,"Velichov",1129,1129,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ 1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1 - STAROSTOVÉ NAŠEHO KRAJE","SNK1","1129",326,7.48,"N",0,1,3,1
