"KRZAST","KSTRANA","PORCISLO","TITULPRED","JMENO","PRIJMENI","TITULZA","JMENOFULL","VEK","ZENY","TITUL","POVOLANI","BYDLISTEK","BYDLISTEN","NSTRANA","VSTRANA","NAZEVCELK","ZKRATKAK30","ZKRATKAK8","SLOZENI","POCHLASU","PROCHLASU","MANDAT","PORADIMAND","PORADINAHR"
1,33,1,"Mgr.","MARTIN","KUPKA","","Mgr. MARTIN KUPKA",44,FALSE,TRUE,"starosta, poslanec PČR",538442,"Líbeznice",53,53,"OBČANSKÁ DEMOKRATICKÁ STRANA","OBČANSKÁ DEMOKRATICKÁ STRANA","ODS","053",13434,16.24,"A",1,0
1,7,2,"Mgr.","VÍT","RAKUŠAN","","Mgr. VÍT RAKUŠAN",42,FALSE,TRUE,"poslanec, středoškolský učitel",533165,"Kolín",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",12243,13.17,"A",1,0
10,12,1,"Mgr.","JAN","GROLICH","","Mgr. JAN GROLICH",36,FALSE,TRUE,"starosta obce",584096,"Velatice",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",12172,21.57,"A",1,0
6,20,1,"","MARTIN","PŮTA","","MARTIN PŮTA",49,FALSE,FALSE,"hejtman LB kraje, starosta Hrádku n. N. 2002-2012",564095,"Hrádek nad Nisou",703,703,"STAROSTOVÉ PRO LIBERECKÝ KRAJ","STAROSTOVÉ PRO LIBERECKÝ KRAJ","SLK","703",11363,21.22,"A",1,0
13,50,1,"prof. Ing.","IVO","VONDRÁK","CSc.","prof. Ing. IVO VONDRÁK CSc.",61,FALSE,TRUE,"hejtman",510882,"Velká Polom",768,768,"ANO 2011","ANO 2011","ANO","768",9927,10.41,"A",1,0
12,12,1,"","JIŘÍ","ČUNEK","","JIŘÍ ČUNEK",61,FALSE,FALSE,"hejtman Zlínského kraje, senátor",541630,"Vsetín",1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL","001",9083,25.38,"A",1,0
1,7,1,"Mgr.","PETRA","PECKOVÁ","","Mgr. PETRA PECKOVÁ",44,TRUE,TRUE,"starostka, žurnalistka, novinářka",538493,"Mnichovice",166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN","166",8473,9.12,"A",2,0
11,64,1,"Ing.","MARIAN","JUREČKA","","Ing. MARIAN JUREČKA",39,FALSE,TRUE,"poslanec PČR, zemědělec, krajský zastupitel",517607,"Rokytnice",1,1450,"SPOJENCI - KOALICE PRO OLOMOUCKÝ KRAJ (KDU-ČSL, TOP 09, STRANA ZELENÝCH, PROOLOMOUC)","SPOJENCI PRO OLOMOUCKÝ KRAJ","KDU+Z+TOP+PROOL","001,005,721,1039",8129,23.54,"A",1,0
8,30,1,"JUDr.","MARTIN","NETOLICKÝ","Ph.D.","JUDr. MARTIN NETOLICKÝ Ph.D.",38,FALSE,TRUE,"hejtman Pardubického kraje, vysokoškolský učitel",580031,"Česká Třebová",7,1468,"3PK - PRO PROSPERUJÍCÍ PARDUBICKÝ KRAJ","3PK-PRO PROSPERUJÍCÍ PARD. KR.","ČSSD+SPROK","007,1228",6777,27.62,"A",1,0
11,50,1,"","LADISLAV","OKLEŠTĚK","","LADISLAV OKLEŠTĚK",59,FALSE,FALSE,"hejtman Olomouckého kraje",589250,"Prostějov",768,768,"ANO 2011","ANO 2011","ANO","768",6759,13.35,"A",1,0
